random forest:

mtry  RMSE          Rsquared 
    5   7.168930e-05  0.6012643
   15   6.732335e-05  0.6474052
   25   6.762425e-05  0.6449673
   35   6.747039e-05  0.6458821
   45   6.761381e-05  0.6446816
   55   6.761874e-05  0.6447865
   65   6.759899e-05  0.6446870
   75   6.754181e-05  0.6453825
   85   6.752225e-05  0.6455032
   95   6.779725e-05  0.6425502
  105   6.761212e-05  0.6447087
  115   6.750846e-05  0.6455819
  125   6.743386e-05  0.6466262
  135   6.769073e-05  0.6436592
  145   6.750313e-05  0.6461917
  155   6.772395e-05  0.6434683
  165   6.755801e-05  0.6454747
  175   6.756857e-05  0.6451171
  185   6.757434e-05  0.6449595
  195   6.758133e-05  0.6450514

boosting:

interaction.depth  n.trees  RMSE          Rsquared 
  1                    5      1.044925e-04  0.3206038
  1                   15      9.603367e-05  0.4107685
  1                   25      9.021652e-05  0.4842793
  1                   35      8.608811e-05  0.5053652
  1                   45      8.310803e-05  0.5217185
  1                   55      8.127736e-05  0.5306986
  1                   65      7.975482e-05  0.5399944
  1                   75      7.862103e-05  0.5478569
  1                   85      7.754406e-05  0.5541594
  1                   95      7.679337e-05  0.5595216
  1                  105      7.607607e-05  0.5640730
  1                  115      7.551839e-05  0.5674310
  1                  125      7.506006e-05  0.5706597
  1                  135      7.469634e-05  0.5723267
  1                  145      7.451576e-05  0.5724514
  1                  155      7.439290e-05  0.5719414
  1                  165      7.422292e-05  0.5728195
  1                  175      7.409019e-05  0.5732398
  1                  185      7.398524e-05  0.5740906
  1                  195      7.389749e-05  0.5748615
  5                    5      8.836484e-05  0.5976409
  5                   15      7.160877e-05  0.6445207
  5                   25      6.747805e-05  0.6571422
  5                   35      6.607464e-05  0.6639907
  5                   45      6.572693e-05  0.6648601
  5                   55      6.550103e-05  0.6663531
  5                   65      6.541936e-05  0.6663738
  5                   75      6.537141e-05  0.6660626
  5                   85      6.534258e-05  0.6658096
  5                   95      6.525864e-05  0.6664334
  5                  105      6.534896e-05  0.6650451
  5                  115      6.543190e-05  0.6638078
  5                  125      6.547183e-05  0.6633868
  5                  135      6.554434e-05  0.6626074
  5                  145      6.544878e-05  0.6633705
  5                  155      6.544835e-05  0.6635618
  5                  165      6.545666e-05  0.6634216
  5                  175      6.555798e-05  0.6624282
  5                  185      6.582181e-05  0.6597887
  5                  195      6.578766e-05  0.6599393
  9                    5      8.549429e-05  0.6499108
  9                   15      6.906236e-05  0.6591407
  9                   25      6.657300e-05  0.6606520
  9                   35      6.580102e-05  0.6639467
  9                   45      6.556395e-05  0.6646367
  9                   55      6.537098e-05  0.6658267
  9                   65      6.558005e-05  0.6630046
  9                   75      6.578252e-05  0.6602390
  9                   85      6.602582e-05  0.6580380
  9                   95      6.601148e-05  0.6582545
  9                  105      6.623267e-05  0.6562243
  9                  115      6.646619e-05  0.6540937
  9                  125      6.645382e-05  0.6541658
  9                  135      6.670175e-05  0.6516317
  9                  145      6.699434e-05  0.6489873
  9                  155      6.718471e-05  0.6470929
  9                  165      6.710394e-05  0.6481501
  9                  175      6.708707e-05  0.6482477
  9                  185      6.720731e-05  0.6474370
  9                  195      6.729312e-05  0.6466131

